all_actors,audience_rating,biographie,birth_date,birth_name,box_office,budget,country,description,devise,director,duration,gender,id_movie,id_person,language,main_actors,name,nationality,nominations,original_title,press_rating,public,role,title,total_roles,url,writer,year
"[""228780"",""252531"",""91434"",""454402"",""102631"",""28589"",""5074"",""775087"",""915115"",""139726"",""793925"",""577106"",""805985"",""845074"",""153146"",""903420"",""156531"",""939868"",""711814""]",4.5,,,,671465,42,France,"Victime d’un complot, le jeune Edmond Dantès est arrêté le jour de son mariage pour un crime qu’il n’a pas commis. Après quatorze ans de détention au château d’If, il parvient à s’évader. Devenu immensément riche, il revient sous l’identité du comte de Monte-Cristo pour se venger des trois hommes qui l’ont trahi.",EUR,"[""93931"",""99797""]",178,"Aventure,Historique",288404,,Français,"Pierre Niney,Bastien Bouillon,Anaïs Demoustier",,,,Le Comte de Monte-Cristo,3.5,Tout public,"Edmond Dantès, le Comte de Monte-Cristo,Fernand de Morcef,Mercédès Herrera,Haydée,Gérard de Villefort,Abbé Faria,Danglars,Albert,Andréa,Victoria,Angèle,Caderousse,Maximilien Morrel,Eugénie Danglars,Morrel,Jacopo,Yvonne,Serviteur Comte Danglars",Le Comte de Monte-Cristo,,https://www.allocine.fr/film/fichefilm_gen_cfilm=288404.html,"Matthieu Delaporte,Alexandre De La Patellière",2024
"[""10618"",""328"",""24991"",""262693"",""740656"",""17580"",""20204"",""217373"",""130869"",""789232"",""1000003294"",""889956"",""1000003295"",""197611"",""1000003299"",""1000001403"",""543453"",""48072"",""85336"",""148608"",""237702"",""1000003302"",""816172"",""618074"",""58632"",""143602"",""634812"",""1000006364""]",2.3,,,,50381,,France,"Ex-star de l’opéra, Giovanna fulmine : alors qu’elle a été déclarée morte par erreur, les hommages de la presse tardent à venir. Mike, cascadeur anglais, peut-il décemment trembler devant la mort alors qu’il la défie tous les jours ? Fumer tue, mais Dolorès s’en fout : le jour des 15 ans de sa petite-fille, elle passe unilatéralement un pacte avec Dieu. Alors qu’elle essaie de se suicider, Marie-Cerise, ado harcelée, humiliée et déprimée, est kidnappée et va tout naturellement faire de son ravisseur son psy. Edouard, bien qu’il présente depuis des années une célèbre émission criminelle à la télé, accuse le coup quand sa mortalité se rappelle à lui.",,"[""143602""]",109,"Comédie,Drame",317098,,Français,"Rossy de Palma,André Dussollier,Eduardo Noriega",,,,Paradis Paris,2.8,Tout public avec avertissement,"Dolorès,Edouard Emmard,Rafael Turina,Mike,Badou,Giovanna Bianchi,Jean Paul,Xavier,Gloria,Marie-Cerise,Le ravisseur,Christine,Aidan Webster,Laurent,Mathilda,Fernando,Tom Hall,Agent artistique,Monsieur Perrin,Chef service morgue,Psychiatre Maris-Cerise,Docteur Durrieux,Directrice de casting,Jack,Chef maquilleur,Réalisatrice film d'action,Guillaume",Paradis Paris,,https://www.allocine.fr/film/fichefilm_gen_cfilm=317098.html,"Marie Madinier,Marjane Satrapi",2024
"[""3226"",""93074"",""41339"",""185507"",""30273"",""18217"",""184867"",""23704"",""697259"",""482165"",""4013"",""550211"",""7453"",""16289"",""572675"",""18241"",""977550"",""6247"",""50608"",""59021"",""478153"",""172900"",""97977"",""703019"",""870296"",""17626""]",3.2,,,,,,U.S.A.,"Sur une période de 15 ans avant et après la Guerre de Sécession. L'expansion vers l'Ouest est semée d'embûches qu'il s'agisse des éléments naturels, des interactions avec les peuples indigènes qui vivaient sur ces terres et de la détermination impitoyable de ceux qui cherchaient à les coloniser...",,"[""3226""]",181,"Drame,Western",300487,,Anglais,"Kevin Costner,Sienna Miller,Sam Worthington",,,,Horizon: An American Saga Chapter 1,2.9,,,Horizon : une saga américaine Chapitre 1,,https://www.allocine.fr/film/fichefilm_gen_cfilm=300487.html,"Kevin Costner,Jon S. Baird",2024
"[""214046"",""606051"",""69924"",""61755"",""673550"",""442325"",""100232"",""526164"",""231666"",""688126"",""410091"",""38627"",""256151"",""122447"",""79785"",""767103"",""62085"",""947064"",""599547"",""1006873"",""976936"",""200329"",""1006870"",""19089"",""1006871"",""1006872""]",3.7,,,,103490,,U.S.A.,"Dans un bar de la ville, Kathy, jeune femme au tempérament bien trempé, croise Benny, qui vient d’intégrer la bande de motards des Vandals, et tombe aussitôt sous son charme. À l’image du pays tout entier, le gang, dirigé par l’énigmatique Johnny, évolue peu à peu... Alors que les motards accueillaient tous ceux qui avaient du mal à trouver leur place dans la société, les Vandals deviennent une bande de voyous sans vergogne. Benny devra alors choisir entre Kathy et sa loyauté envers le gang.",,"[""195140""]",116,"Policier,Drame",306937,,Anglais,"Austin Butler,Jodie Comer,Tom Hardy",,,,The Bikeriders,3.7,Tout public avec avertissement,"Benny,Kathy,Johnny,Zipco,Danny,Cal,Brucie,Wahoo,Cockroach,Corky,The Kid,Funny Sonny,Big Jack,Gary Rogue Líder,Barman,Dingy,Paulie,Gail,Big Barbara,Alice,Cousin de Benny,David,La mère du Kid,Le père du Kid,Henry,Betty",The Bikeriders,,https://www.allocine.fr/film/fichefilm_gen_cfilm=306937.html,Jeff Nichols,2023
"[""511908"",""27248"",""8402"",""6099"",""13613"",""881888"",""683688"",""78817"",""896369""]",3.5,,,,144537,,France,"Juliette, jeune illustratrice de livres pour enfants, quitte la ville pour retrouver sa famille quelques jours : son père si pudique qu’il ne peut s’exprimer qu’en blagues, sa mère artiste peintre qui croque la vie à pleines dents, sa grand-mère chérie qui perd pied, et sa sœur, mère de famille débordée par un quotidien qui la dévore. Elle croise aussi le chemin de Pollux, jeune homme poétique et attachant. Dans ce joyeux bazar, des souvenirs et des secrets vont remonter à la surface.",,"[""14395""]",96,Drame,315190,,Français,"Izïa Higelin,Sophie Guillemin,Jean-Pierre Darroussin",,,,Juliette au printemps,3.4,Tout public,"Juliette,Marylou,Léonard,Nathalie,Stéphane,Pollux,Adrien,Simone,Lucas",Juliette au printemps,,https://www.allocine.fr/film/fichefilm_gen_cfilm=315190.html,"Maud Ameline,Blandine Lenoir",2024
"[""407212"",""37979"",""931974"",""1012748"",""182381"",""621380"",""478145"",""69927"",""538850"",""447793"",""766018"",""1022698"",""213825"",""1000005842"",""1000005843""]",2.9,,,,85730,,France,"Quand son fils Henri menace de partir vivre chez son père, Justine l’embarque de force dans un road trip sur la côte Atlantique avec son nouveau compagnon Ludo et son beau-fils Joseph. Au programme des vacances : unir sa famille recomposée coûte que coûte ! Mais très vite l’aventure déraille et Justine déchante. Pourtant, de ce chaos naît progressivement un groupe de musique, « Les Hennedricks », dans lequel chacun libère sa folie. Cette nouvelle complicité permettra-t-elle à la famille atypique de trouver enfin son harmonie ?",,"[""407212""]",98,Comédie,317525,,Français,"Laurence Arné,Dany Boon,Ferdinand Redouloux",,,,La Famille Hennedricks,2.4,Tout public,"Justine,Ludo,Henri,Joseph,Pierre,Véronique,Stéphanie,Le punk,Un policier,Un policier,La réceptionniste,Emma,Agent de sécurité,Nelle,La caissière Station service",La Famille Hennedricks,,https://www.allocine.fr/film/fichefilm_gen_cfilm=317525.html,Laurence Arné,2024
"[""714777"",""162038"",""102328"",""941266"",""1000001408"",""79170"",""137665"",""79128"",""542971"",""559199"",""814125"",""943958"",""410570"",""998625"",""547043"",""1003738"",""716279"",""794312""]",4.1,,,,911327,,"Australie,U.S.A.","Dans un monde en déclin, la jeune Furiosa est arrachée à la Terre Verte et capturée par une horde de motards dirigée par le redoutable Dementus. Alors qu’elle tente de survivre à la Désolation, à Immortan Joe et de retrouver le chemin de chez elle, Furiosa n’a qu’une seule obsession : la vengeance.",,"[""2096""]",148,"Action,Science Fiction",191112,,Anglais,"Anya Taylor-Joy,Chris Hemsworth,Tom Burke",,,,Furiosa: A Mad Max Saga,4.0,Interdit - 12 ans,"Furiosa,Dementus,Praetorian Jack,Young Furiosa,Mary Jabasa,Immortan Joe jeune,Rictus Erectus,La mécanique organique,War Boy,The Octoboss,Smeg,Dementus Biker,Résident de la ville gazière,Vulture,Dementus Biker (Misfit Gang),Sad Eyes,Squint",Furiosa: une saga Mad Max,,https://www.allocine.fr/film/fichefilm_gen_cfilm=191112.html,"George Miller,Nick Lathouris",2024
"[""454402"",""5199"",""3126"",""16749"",""18746"",""873442"",""592152"",""482078"",""757157"",""930885"",""1000002908"",""553832"",""908966"",""751146"",""1000002911"",""950436""]",3.6,,,,44793,,France,Maria n’est plus une enfant et pas encore une adulte lorsqu’elle enflamme la pellicule d’un film sulfureux devenu culte : ,,"[""170169""]",100,"Biopic,Drame",299083,,"Anglais,Français","Anamaria Vartolomei,Matt Dillon,Yvan Attal",,,,Maria,3.2,Tout public avec avertissement,"Maria Schneider,Marlon Brando,Daniel Gélin,Marie-Christine,L'agent,Noor,Bernardo Bertolucci,Le réalisateur,Nathan,Maquilleuse de Daniel Gélin,La scripte,Vittorio Storaro,Louis ingé son,Le pointeur,Femme brasserie,Habilleuse sur Le Dernier tango à Paris",Maria,,https://www.allocine.fr/film/fichefilm_gen_cfilm=299083.html,"Laurette Polmanss,Jessica Palud",2024
"[""5390"",""2083"",""2078"",""2076"",""51528"",""2077"",""5252"",""886405"",""996471"",""63798"",""952688"",""28709"",""63802"",""6674"",""256621"",""990491"",""826634"",""603397"",""265925"",""576809"",""996472"",""1028044""]",2.7,,,,386441,,France,"Justine, son mari et toute leur bande d'amis trouvent une solution pour résoudre leurs problèmes d'argent : organiser une fausse croisière romantique pour Franck, un gros investisseur, qui cherche à séduire une femme.",,"[""2076""]",96,Comédie,317100,,Français,"Daniel Auteuil,Sandrine Kiberlain,Denis Podalydès",,,,La Petite vadrouille,3.6,Tout public,"Franck,Justine,Albin,Jocelyn,Rosine,Sandra,Caramel,Ifus,Jeune sur le voilier,Jeune sur le voilier,Jeune sur le voilier,Le propriétaire de la Pénichette,La visiteuse au musée,Le patron du Café Chanté,Le client du Café Chanté,Le client du Café Chanté,Le chargé d'étude représentant,La cliente de Rosine,Le client du supermarché,La pêcheuse,La pêcheuse",La Petite vadrouille,,https://www.allocine.fr/film/fichefilm_gen_cfilm=317100.html,Bruno Podalydès,2024
"[""19358"",""17080"",""134639"",""184357"",""585459"",""114912"",""596272"",""118007"",""6892"",""104735"",""38870"",""702092"",""660250"",""550613"",""792976"",""916578"",""10124""]",3.5,,,,926732,,U.S.A.,"Cet été, la franchise Bad Boys est de retour avec son mélange iconique d'action explosive et d'humour irrévérencieux. Mais cette fois-ci, les meilleurs flics de Miami deviennent les hommes les plus recherchés d'Amérique.",,"[""755825"",""755826""]",115,Action,240014,,Anglais,"Will Smith,Martin Lawrence,Vanessa Hudgens",,,,Bad Boys Ride or Die,2.6,Tout public,"Mike Lowrey,Marcus Burnett,Kelly,Dorn,Rita,James McGrath,Christine,Theresa,Captain Howard,Lockwood,Nicole,Armando Aretas,Lintz,Banker's Wife,Guard,Prisoner",Bad Boys Ride or Die,,https://www.allocine.fr/film/fichefilm_gen_cfilm=240014.html,"Chris Bremner,Will Beall",2024
"[""582633"",""802430"",""431604"",""25754"",""920782"",""815832"",""205633"",""1000002874"",""814242"",""775766"",""998314"",""1000006802""]",2.9,,,,259612,,U.S.A.,Découvrez comment notre monde est devenu silencieux.,,"[""886783""]",99,"Drame,Epouvante-horreur,Thriller",287892,,Anglais,"Lupita Nyong'o,Joseph Quinn (VII),Alex Wolff",,,,A Quiet Place: Day One,2.8,Tout public avec avertissement,"Samira,Eric,Reuben,Henri,Max,Zena,Priest,Crying Woman,Frightened Man,Survivant bateau,Passant,Nurse",Sans un bruit: jour 1,,https://www.allocine.fr/film/fichefilm_gen_cfilm=287892.html,Michael Sarnoski,2024
"[""194788"",""87400"",""4788"",""646619"",""425221"",""724708"",""757330"",""862149"",""882227"",""959634"",""1011117"",""621283"",""855764"",""761484"",""631940""]",2.7,,,,34996,,"Irlande,Grande-Bretagne,U.S.A.","KINDS OF KINDNESS est une fable en tryptique qui suit : un homme sans choix qui tente de prendre le contrôle de sa propre vie ; un policier inquiet parce que sa femme disparue en mer est de retour et qu’elle semble une personne différente ; et une femme déterminée à trouver une personne bien précise dotée d’un pouvoir spécial, destinée à devenir un chef spirituel prodigieux.",,"[""261191""]",164,Drame,308761,,Anglais,"Emma Stone,Jesse Plemons,Willem Dafoe",,,,Kinds of Kindness,2.8,Interdit - 12 ans avec avertissement,"Rita, Liz et Emily,Robert, Daniel et Andrew,Raymond, George et Omi,Vivian, Martha et les jumelles Ruth et Rebecca,Sarah, Sharon et Aka,Évaluateur d'objets de collection Man 1, Jerry et Joseph,Will, Neil et l'infirmière de la morgue,Anna,Jeune conductrice,Fille d'Emily,Double de Liz,Membre de la secte,Rachel,Secrétaire de M. Smith,Femme reculante à Cheval Bar",Kinds of Kindness,,https://www.allocine.fr/film/fichefilm_gen_cfilm=308761.html,"Efthymis Filippou,Yorgos Lanthimos",2024
"[""24485"",""474959"",""819612"",""915582"",""789468"",""858480"",""733443"",""1000003885"",""228679"",""648092"",""31575"",""877564"",""800618"",""35315"",""95345"",""204910"",""99757"",""801530"",""182381"",""226483""]",1.7,,,,,,France,"Été 2024, Paris accueille pour la première fois les championnats du monde de triathlon sur la Seine. Sophia, brillante scientifique, est alertée par Mika, une jeune activiste dévouée à l’écologie, de la présence d'un grand requin dans les profondeurs du fleuve. Elles n’ont d’autre choix que de faire équipe avec Adil, commandant de la police fluviale pour éviter un bain de sang au cœur de la ville.",,"[""145691""]",104,"Action,Thriller",313341,,Français,"Bérénice Bejo,Nassim Lyes,Anaïs Parello",,,,Sous la Seine,2.0,,"Sophia,Adil,Jade,Juan,Mika,Raphaël,Membre S.O.S Sharks,Reporter,L'officier de Marine,Nils,Angèle,Markus,Léopold,Adama,La maire de Paris,Poiccard,Berruti,Ben,Chris Assalas,Sam",Sous la Seine,,https://www.allocine.fr/film/fichefilm_gen_cfilm=313341.html,"Xavier Gens,Yannick Dahan",2024
"[""801910"",""7754"",""865349"",""486844"",""725888"",""1000276"",""1000277"",""1000278"",""1000279"",""1000280"",""970135"",""963202"",""1000281"",""1000282"",""1000283"",""1024735""]",4.3,,,,8176144,,France,"Pour échapper à la police, un fils et son père en cavale sont contraints de trouver refuge dans une colonie de vacances pour jeunes adultes en situation de handicap, se faisant passer pour un pensionnaire et son éducateur spécialisé. Le début des emmerdes et d’une formidable expérience humaine qui va les changer à jamais.",,"[""801910""]",99,Comédie,318031,,Français," Artus,Clovis Cornillac,Marc Riso",,,,Un p’tit truc en plus,3.0,Tout public,"Paulo / Sylvain,La Fraise / Orpi,Marc,Alice,Céline,Gad,Ludovic,Alexandre,Marie,Thibault,Mayane,Baptiste,Boris,Sofian,Arnaud,Le vrai Sylvain",Un p’tit truc en plus,,https://www.allocine.fr/film/fichefilm_gen_cfilm=318031.html," Artus,Milan Mauger",2024
"""100830,962134,814731,113649,104805,65923,157349,917202,160886,586132,1023525,677116,599,649,998425,105030,633705,57030,38889,8444,419218,5197,418263,731094,27635,1023529,765404,1023528,173759,770002""",4.0,,,,3217147,,U.S.A.,"Fraichement diplômée, Riley est désormais une adolescente, ce qui n’est pas sans déclencher un chamboulement majeur au sein du quartier général qui doit faire face à quelque chose d’inattendu : l’arrivée de nouvelles émotions ! Joie, Tristesse, Colère, Peur et Dégoût - qui ont longtemps fonctionné avec succès - ne savent pas trop comment réagir lorsqu’Anxiété débarque. Et il semble qu'elle ne soit pas la seule...",,"""652291""",96,"Aventure,Animation,Comédie,Famille",307991,,Anglais,"Charlotte Le Bon,Amy Poehler,Jaynelia Coadou",,,,Inside Out 2,3.7,à partir de 6 ans,"Joie,Riley,Anxiété,Dégoût,Peur,Colère,Tristesse,Envie,Ennui,Embarras,Bree,Valentina “Val” Ortiz,La mère,Le père,Grace,Coach Roberts,Bloofy,Nostalgie,Mind Cop Worker Jake,Subconscious Guard Frank,Forgetter Bobby,Subconscious Guard Dave,Mrs. Andersen's Anger,Forgetter Paula,Fritz,Lance Slashblade,Pouchy,Hockey Announcer,Foreman,Margie,Joie,Riley,Anxiété,Dégoût,Peur,Colère,Tristesse,Envie,Ennui,Embarras,Bree,Valentina “Val” Ortiz,La mère,Le père,Grace,Coach Roberts",Vice-Versa 2,,https://www.allocine.fr/film/fichefilm_gen_cfilm=307991.html,"Meg LeFauve,Dave Holstein",2024
