all_actors,audience_rating,box_office,budget,country,description,devise,director,duration,gender,language,main_actors,original_title,press_rating,public,title,url,writer,year
"Artus,Artus,Clovis Cornillac,Marc Riso,Alice Belaïdi,Céline Groussard,Gad Abecassis,Ludovic Boul,Stanislas Carmont,Marie Colin,Thibaut Conan,Mayane-Sarah El Baze,Théophile Leroy,Boris Pitoeff,Sofian Ribes,Arnaud Toupense,Benjamin Vandewalle",4.3,7193754,,France,"Pour échapper à la police, un fils et son père en cavale sont contraints de trouver refuge dans une colonie de vacances pour jeunes adultes en situation de handicap, se faisant passer pour un pensionnaire et son éducateur spécialisé. Le début des emmerdes et d’une formidable expérience humaine qui va les changer à jamais.",, Artus,99,Comédie,Français," Artus,Clovis Cornillac,Marc Riso",Un p’tit truc en plus,3.0,Tout public,Un p’tit truc en plus,https://www.allocine.fr/film/fichefilm_gen_cfilm=318031.html," Artus,Milan Mauger",2024
"Rithy Panh,Irène Jacob,Grégoire Colin,Cyril Gueï,Bunhok Lim,Somaline Mao",3.5,33506,,"Cambodge,France,Qatar,Taïwan,Turquie","1978. Depuis trois ans, le Cambodge, devenu Kampuchéa démocratique, est sous le joug de Pol Pot et ses Khmers rouges. Le pays est économiquement exsangue, et près de deux millions de Cambodgiens ont péri dans un génocide encore tu. Trois Français ont accepté l’invitation du régime et espèrent obtenir un entretien exclusif avec Pol Pot : une journaliste familière du pays, un reporter photographe et un intellectuel sympathisant de l’idéologie révolutionnaire. Mais la réalité qu’ils perçoivent sous la propagande et le traitement qu’on leur réserve va vont peu à peu faire basculer les certitudes de chacun.",,Rithy Panh,112,"Drame,Historique","Français, Khmer","Irène Jacob,Grégoire Colin,Cyril Gueï",Rendez-vous avec Pol Pot,3.3,Tout public,Rendez-vous avec Pol Pot,https://www.allocine.fr/film/fichefilm_gen_cfilm=326729.html,"Pierre Erwan Guillaume,Rithy Panh",2024
"Margherita Vicario,Galatea Bellugi,Carlotta Gamba,Veronica Lucchesi,Maria Vittoria Dallasta,Sara Mafodda,Paolo Rossi,Elio,Natalino Balasso,Anita Kravos,Vincenzo Crea,Jasmin Mattei,Gioele Pagura",3.4,24890,,"Italie,Suisse","Venise, au 18ème siècle. A l'Institut Sant'Ignazio, orphelinat et conservatoire pour jeunes filles, tout le monde s'agite en vue de la visite imminente du nouveau Pape et du grand concert qui sera donné en son honneur. Teresa, jeune domestique silencieuse et solitaire, fait alors une découverte exceptionnelle qui va révolutionner la vie du conservatoire : un piano-forte.",,Margherita Vicario,106,"Drame,Historique,Musical",Italien,"Galatea Bellugi,Carlotta Gamba,Veronica Lucchesi",Gloria!,2.6,Tout public,Gloria!,https://www.allocine.fr/film/fichefilm_gen_cfilm=317502.html,"Margherita Vicario,Anita Rivaroli",2024
"Michel Franco,Jessica Chastain,Peter Sarsgaard,Brooke Timber,Merritt Wever,Josh Charles,Elsie Fisher,Jessica Harper,Blake Baumgartner,Elizabeth Loyacano,Ross Brodar,Davis Duffield,Alexis Rae Forlenza,Tatiana Ronderos,Mia Mei Williamson,Jett Salazar",3.9,103796,,"U.S.A.,Mexique,Chili","Sylvia mène une vie simple, structurée par sa fille, son travail et ses réunions des AA. Pourtant, ses retrouvailles avec Saul bouleversent leurs existences, réveillant des souvenirs douloureux que chacun avait enfouis jusque-là.",,Michel Franco,100,Drame,Anglais,"Jessica Chastain,Peter Sarsgaard,Brooke Timber",Memory,3.8,Tout public,Memory,https://www.allocine.fr/film/fichefilm_gen_cfilm=304847.html,Michel Franco,2023
"Blandine Lenoir,Izïa Higelin,Sophie Guillemin,Jean-Pierre Darroussin,Noémie Lvovsky,Eric Caravaca,Salif Cissé,Thomas De Pourquery,Liliane Rovère,Leny Morand",3.5,55865,,France,"Juliette, jeune illustratrice de livres pour enfants, quitte la ville pour retrouver sa famille quelques jours : son père si pudique qu’il ne peut s’exprimer qu’en blagues, sa mère artiste peintre qui croque la vie à pleines dents, sa grand-mère chérie qui perd pied, et sa sœur, mère de famille débordée par un quotidien qui la dévore. Elle croise aussi le chemin de Pollux, jeune homme poétique et attachant. Dans ce joyeux bazar, des souvenirs et des secrets vont remonter à la surface.",,Blandine Lenoir,96,Drame,Français,"Izïa Higelin,Sophie Guillemin,Jean-Pierre Darroussin",Juliette au printemps,3.4,Tout public,Juliette au printemps,https://www.allocine.fr/film/fichefilm_gen_cfilm=315190.html,"Maud Ameline,Blandine Lenoir",2024
"Christophe Honoré,Chiara Mastroianni,Benjamin Biolay,Catherine Deneuve,Melvil Poupaud,Nicole Garcia,Fabrice Luchini,Hugh Skinner",3.0,172941,,"France,Italie",C’est l’histoire d’une femme qui s’appelle Chiara.,,Christophe Honoré,121,Comédie,"Français, Italien","Chiara Mastroianni,Benjamin Biolay,Catherine Deneuve",Marcello Mio,3.7,Tout public,Marcello Mio,https://www.allocine.fr/film/fichefilm_gen_cfilm=317639.html,Christophe Honoré,2024
"Jessica Palud,Anamaria Vartolomei,Matt Dillon,Yvan Attal,Marie Gillain,Stanislas Merhar,Céleste Brunnquell,Giuseppe Maggio,Hugo Becker,Alexis Corso,Aurélie Garault,Swann Dupont,Patrice Tepasso,Alexandre Ionescu,Jeremy Charvet,Annaig Briand,Alice Suquet",3.6,6953,,France,Maria n’est plus une enfant et pas encore une adulte lorsqu’elle enflamme la pellicule d’un film sulfureux devenu culte : ,,Jessica Palud,100,"Biopic,Drame","Anglais, Français","Anamaria Vartolomei,Matt Dillon,Yvan Attal",Maria,3.2,Tout public avec avertissement,Maria,https://www.allocine.fr/film/fichefilm_gen_cfilm=299083.html,"Laurette Polmanss,Jessica Palud",2024
"Marjane Satrapi,Rossy de Palma,André Dussollier,Eduardo Noriega,Ben Aldridge,Gwendal Marimoutou,Monica Bellucci,Roschdy Zem,Alex Lutz,Martina García,Charline Balu-Emane,Thomas Bernier,Charlotte Dauphin,Roméo Grialou,Pascal Ternisien,Ines Gaudin Prat,Alonso Venegas Flores,Shane Woodward,Béatrice Costantini,Eric Naggar,Laurent Mothe,Guillaume Bouchède,Michel Delcampo,Lisa Ray-Jacobs,Renaud Leymans,Joe Sheridan,Julien Bleitrach,Stéphane de Oliveira",2.4,25421,,France,"Ex-star de l’opéra, Giovanna fulmine : alors qu’elle a été déclarée morte par erreur, les hommages de la presse tardent à venir. Mike, cascadeur anglais, peut-il décemment trembler devant la mort alors qu’il la défie tous les jours ? Fumer tue, mais Dolorès s’en fout : le jour des 15 ans de sa petite-fille, elle passe unilatéralement un pacte avec Dieu. Alors qu’elle essaie de se suicider, Marie-Cerise, ado harcelée, humiliée et déprimée, est kidnappée et va tout naturellement faire de son ravisseur son psy. Edouard, bien qu’il présente depuis des années une célèbre émission criminelle à la télé, accuse le coup quand sa mortalité se rappelle à lui.",,Marjane Satrapi,109,"Comédie,Drame",Français,"Rossy de Palma,André Dussollier,Eduardo Noriega",Paradis Paris,2.8,Tout public avec avertissement,Paradis Paris,https://www.allocine.fr/film/fichefilm_gen_cfilm=317098.html,"Marie Madinier,Marjane Satrapi",2024
"Quentin Dupieux,Léa Seydoux,Louis Garrel,Vincent Lindon,Raphaël Quenard,Manuel Guillot,Françoise Gazio",3.3,473183,,France,"Florence veut présenter David, l’homme dont elle est follement amoureuse, à son père Guillaume. Mais David n’est pas attiré par Florence et souhaite s’en débarrasser en la jetant dans les bras de son ami Willy. Les quatre personnages se retrouvent dans un restaurant au milieu de nulle part.",,Quentin Dupieux,80,Comédie,Français,"Léa Seydoux,Louis Garrel,Vincent Lindon",Le Deuxième acte,3.8,Tout public,Le Deuxième acte,https://www.allocine.fr/film/fichefilm_gen_cfilm=325256.html,Quentin Dupieux,2024
"Bruno Podalydès,Daniel Auteuil,Sandrine Kiberlain,Denis Podalydès,Bruno Podalydès,Florence Muller,Isabelle Candelier,Jean-Noël Brouté,Dimitri Doré,Pia Mougeot,Jean Podalydès,Gloria Deparis,Patrick Ligardes,Anne-Françoise Brillot,Eric Viellard,Laurent Bozzi,Gaspard Danel,Yann Frisch,Leslie Menu,Nino Podalydès,Monica Taverna,Nusch,Mina Onnen",2.6,255858,,France,"Justine, son mari et toute leur bande d'amis trouvent une solution pour résoudre leurs problèmes d'argent : organiser une fausse croisière romantique pour Franck, un gros investisseur, qui cherche à séduire une femme.",,Bruno Podalydès,96,Comédie,Français,"Daniel Auteuil,Sandrine Kiberlain,Denis Podalydès",La Petite vadrouille,3.7,Tout public,La Petite vadrouille,https://www.allocine.fr/film/fichefilm_gen_cfilm=317100.html,Bruno Podalydès,2024
"Wes Ball,Owen Teague,Freya Allan,Peter Macon,Lydia Peckham,Travis Jeffery,Kevin Durand,Neil Sandilands,William H. Macy,Eka Darville,Sara Wiseman,Ras-Samuel Welda’abzgi,Dichen Lachman",3.6,2282976,,U.S.A.,"Plusieurs générations après le règne de César, les singes ont définitivement pris le pouvoir. Les humains, quant à eux, ont régressé à l'état sauvage et vivent en retrait. Alors qu'un nouveau chef tyrannique construit peu à peu son empire, un jeune singe entreprend un périlleux voyage qui l'amènera à questionner tout ce qu'il sait du passé et à faire des choix qui définiront l'avenir des singes et des humains...",,Wes Ball,145,"Action,Aventure,Science Fiction",Anglais,"Owen Teague,Freya Allan,Peter Macon",Kingdom of the Planet of the Apes,3.2,Tout public,La Planète des Singes : Le Nouveau Royaume,https://www.allocine.fr/film/fichefilm_gen_cfilm=276289.html,"Josh Friedman,Rick Jaffa",2024
"Adil El Arbi,Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,Alexander Ludwig,Paola Núñez,Eric Dane,Melanie Liburd,Tasha Smith,Joe Pantoliano,Rhea Seehorn,Ioan Gruffudd,Jenna Kanell,Jacob Scipio,Derek Russo,Jerri Tubbs,Christopher Cocke,Donald Morgan",3.4,601078,,U.S.A.,"Cet été, la franchise Bad Boys est de retour avec son mélange iconique d'action explosive et d'humour irrévérencieux. Mais cette fois-ci, les meilleurs flics de Miami deviennent les hommes les plus recherchés d'Amérique.",,"Adil El Arbi,Bilall Fallah",115,Action,Anglais,"Will Smith,Martin Lawrence,Vanessa Hudgens",Bad Boys Ride or Die,2.6,Tout public,Bad Boys Ride or Die,https://www.allocine.fr/film/fichefilm_gen_cfilm=240014.html,"Chris Bremner,Will Beall",2024
"Kelsey Mann,Amy Poehler,Kensington Tallman,Maya Hawke,Liza Lapira,Tony Hale,Lewis Black,Phyllis Smith,Ayo Edebiri,Charlotte Le Bon,Jaynelia Coadou,Dorothée Pousséo,Mélanie Laurent,Pierre Niney,Gilles Lellouche,Marilou Berry,Kaycie Chase",4.1,527504,,U.S.A.,"Fraichement diplômée, Riley est désormais une adolescente, ce qui n’est pas sans déclencher un chamboulement majeur au sein du quartier général qui doit faire face à quelque chose d’inattendu : l’arrivée de nouvelles émotions ! Joie, Tristesse, Colère, Peur et Dégoût - qui ont longtemps fonctionné avec succès - ne savent pas trop comment réagir lorsqu’Anxiété débarque. Et il semble qu'elle ne soit pas la seule...",,Kelsey Mann,96,"Aventure,Animation,Comédie,Famille",Anglais,"Charlotte Le Bon,Amy Poehler,Jaynelia Coadou",Inside Out 2,3.7,à partir de 6 ans,Vice-Versa 2,https://www.allocine.fr/film/fichefilm_gen_cfilm=307991.html,"Meg LeFauve,Dave Holstein",2024
"George Miller,Anya Taylor-Joy,Chris Hemsworth,Tom Burke,Alyla Browne,Charlee Fraser,Lachy Hulme,Nathan Jones,Angus Sampson,Daniel Webber,Goran D. Kleut,David Collins,Alex Time,Jacob Parker,CJ. Bloomfield,Rahel Romahn,Robert McFarlane,Florence Mezzara,Robert Jones",4.1,812241,,"Australie,U.S.A.","Dans un monde en déclin, la jeune Furiosa est arrachée à la Terre Verte et capturée par une horde de motards dirigée par le redoutable Dementus. Alors qu’elle tente de survivre à la Désolation, à Immortan Joe et de retrouver le chemin de chez elle, Furiosa n’a qu’une seule obsession : la vengeance.",,George Miller,148,"Action,Science Fiction",Anglais,"Anya Taylor-Joy,Chris Hemsworth,Tom Burke",Furiosa: A Mad Max Saga,4.0,Interdit - 12 ans,Furiosa: une saga Mad Max,https://www.allocine.fr/film/fichefilm_gen_cfilm=191112.html,"George Miller,Nick Lathouris",2024
"Xavier Gens,Bérénice Bejo,Nassim Lyes,Anaïs Parello,Iñaki Lartigue,Léa Léviant,Timi-Joy Marbot,Julien Jakout,José Antonio Pedrosa Moreno,Ricky Tribord,Aksel Ustun,Aurélia Petit,Marvin Dubart,Daouda Keita,Ibrahima Ba,Anne Marivin,Stéphane Jacquot,Jean-Marc Bellu,Nagisa Morimoto,Yannick Choirat,Victor Pontecorvo",1.7,,,France,"Été 2024, Paris accueille pour la première fois les championnats du monde de triathlon sur la Seine. Sophia, brillante scientifique, est alertée par Mika, une jeune activiste dévouée à l’écologie, de la présence d'un grand requin dans les profondeurs du fleuve. Elles n’ont d’autre choix que de faire équipe avec Adil, commandant de la police fluviale pour éviter un bain de sang au cœur de la ville.",,Xavier Gens,104,"Action,Thriller",Français,"Bérénice Bejo,Nassim Lyes,Anaïs Parello",Sous la Seine,2.0,,Sous la Seine,https://www.allocine.fr/film/fichefilm_gen_cfilm=313341.html,"Xavier Gens,Yannick Dahan",2024
